epoch,train_loss,val_loss,train_auc,val_auc,val_ap,is_best
1,0.49440310932646914,0.4498411774323249,0.8831669817949506,0.9040745761457805,0.8785242840839216,False
2,0.43962393838143693,0.440993511005846,0.9071608128637575,0.9086239954161733,0.8848784757037353,False
3,0.42559274651217865,0.44303712599876666,0.9134304756954171,0.9095787023824624,0.8856420337267419,False
4,0.41483725485992806,0.44215904769160985,0.9176986318016908,0.9102328269455718,0.8870919225081518,False
5,0.404558947478738,0.4409053148555506,0.9218646903351094,0.9103743098716107,0.8876094933465727,True
6,0.39212457036768406,0.43952215139154366,0.9267974130785772,0.9088959509238118,0.8855983827278213,False
7,0.381684908043696,0.4417515736443834,0.9307894956137679,0.9098033684607362,0.8875184329993583,False
8,0.3724621019758157,0.4482663109976584,0.9341776562451725,0.9084664924389763,0.8847390773531079,False
9,0.3622587158316538,0.44300889040475117,0.9377738448960539,0.9077785110667175,0.8848198378222095,False
10,0.35151761662552766,0.46558846595711734,0.9416309855020345,0.9042054340894357,0.8800332310574588,False
